month,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
January,26,20,25,14,20,20,22,20,14,26,22,10,22,25,15,17,24,25,17,17,19
February,24,16,22,15,18,25,25,26,15,17,24,16,23,26,26,17,22,22,22,24,22
March,24,28,25,27,25,23,28,22,19,27,28,22,22,27,24,27,22,23,27,27,24
April,29,28,23,27,33,31,30,30,30,30,25,27,27,26,28,31,31,26,31,26,28
May,31,28,31,32,31,32,33,33,30,30,32,29,30,28,32,32,34,34,32,33,33
June,30,33,33,34,32,33,32,35,28,33,30,30,33,32,29,29,34,33,35,33,34
July,32,34,34,34,34,30,34,32,30,33,34,33,33,33,33,34,34,35,33,35,34
August,32,31,31,28,31,34,34,30,34,33,33,33,33,34,36,32,32,33,30,32,33
September,25,30,31,31,33,28,32,33,31,30,34,30,30,31,31,30,28,35,34,26,32
October,26,28,29,24,29,24,27,28,25,30,24,31,30,24,29,25,28,29,29,29,27
November,23,26,20,27,26,22,18,26,25,23,23,21,22,24,26,23,19,28,24,23
December,22,24,24,20,21,16,23,11,23,22,18,16,18,19,20,13,18,21,19,21
