month,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
January,10,9,9,7,10,8,7,7,5,8,10,7,8,10,6,7,10,10,11,3,13
February,11,9,12,8,10,9,12,7,8,10,11,7,15,7,8,9,11,6,11,8,10
March,14,12,12,19,14,14,10,13,9,9,11,11,13,8,13,12,13,14,15,10,14
April,19,19,18,19,15,17,19,18,14,15,12,17,17,13,18,19,16,18,15,20,16
May,21,21,18,22,23,23,22,19,14,20,21,20,21,21,20,25,18,19,23,21,22
June,23,22,25,22,24,24,24,25,19,23,23,24,24,21,24,26,23,25,25,25,25
July,23,24,26,25,24,24,27,24,25,25,25,24,24,24,26,24,25,26,25,25,25
August,25,25,24,25,25,24,25,25,24,25,25,24,25,25,25,26,25,24,25,25,25
September,20,24,23,24,25,23,23,24,24,20,25,25,25,24,23,24,24,26,25,23,26
October,19,21,20,19,21,18,20,20,20,23,21,23,23,16,21,18,19,23,19,21,20
November,16,18,12,13,13,15,13,16,15,18,12,12,9,17,17,13,13,18,15,13
December,12,14,5,11,8,6,10,7,10,12,12,10,10,5,10,7,9,11,11,11
